Vardas        Pavarde           ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      Egz.
Vardas795     Pavarde795        8         10        3         4         4         0         7         7         3         8         3
Vardas796     Pavarde796        4         0         10        4         2         5         7         0         6         2         9
Vardas797     Pavarde797        8         1         6         5         7         7         5         9         5         7         6
Vardas798     Pavarde798        9         8         3         2         5         0         3         1         8         6         3
Vardas799     Pavarde799        0         2         0         7         0         4         4         0         8         4         2
Vardas800     Pavarde800        0         5         7         5         2         7         3         2         4         5         5
Vardas801     Pavarde801        10        5         6         0         10        6         2         2         4         7         5
Vardas802     Pavarde802        8         1         8         3         0         0         8         4         6         2         9
Vardas803     Pavarde803        4         5         6         1         7         10        2         3         5         8         1
Vardas804     Pavarde804        4         9         3         3         6         5         9         6         9         0         7
Vardas805     Pavarde805        1         7         5         7         3         8         2         8         1         9         4
Vardas806     Pavarde806        2         5         5         5         8         6         3         0         0         8         3
Vardas807     Pavarde807        0         9         3         3         1         9         0         6         6         1         7
Vardas808     Pavarde808        1         7         9         4         6         10        10        6         7         3         5
Vardas809     Pavarde809        7         1         0         1         3         2         3         7         7         4         5
Vardas810     Pavarde810        2         2         1         2         7         7         5         2         1         3         0
Vardas811     Pavarde811        0         3         2         0         7         7         6         5         8         4         7
Vardas812     Pavarde812        8         0         10        4         1         10        0         3         5         1         1
Vardas813     Pavarde813        9         10        5         1         7         4         0         7         2         5         7
Vardas814     Pavarde814        5         2         9         2         10        3         0         0         7         5         3
Vardas815     Pavarde815        5         0         2         1         1         4         3         5         4         2         8
Vardas816     Pavarde816        2         7         8         6         0         6         7         0         4         10        10
Vardas817     Pavarde817        9         4         6         5         6         0         5         4         2         4         1
Vardas818     Pavarde818        8         1         0         6         6         7         2         2         8         10        2
Vardas819     Pavarde819        1         3         5         6         9         8         2         7         9         5         0
Vardas820     Pavarde820        1         1         0         8         6         3         8         10        0         9         2
Vardas821     Pavarde821        2         6         6         3         10        8         10        7         6         3         9
Vardas822     Pavarde822        9         3         9         2         3         3         6         9         2         2         6
Vardas823     Pavarde823        2         7         10        8         0         1         8         10        3         3         10
Vardas824     Pavarde824        3         5         0         5         1         8         0         7         2         4         7
Vardas825     Pavarde825        9         5         3         9         5         7         7         4         6         1         4
Vardas826     Pavarde826        8         5         1         4         1         8         2         1         8         10        1
Vardas827     Pavarde827        5         2         7         5         1         8         4         6         10        4         0
Vardas828     Pavarde828        10        1         1         4         7         1         6         6         1         3         1
Vardas829     Pavarde829        0         3         3         7         3         9         2         8         10        5         1
Vardas830     Pavarde830        3         7         3         1         4         4         2         6         2         4         3
Vardas831     Pavarde831        8         5         0         2         4         0         9         3         4         8         2
Vardas832     Pavarde832        0         5         7         6         1         10        0         2         7         6         10
Vardas833     Pavarde833        5         10        6         1         4         6         5         9         9         2         3
Vardas834     Pavarde834        7         5         9         6         9         1         9         10        1         9         4
Vardas835     Pavarde835        5         2         9         0         1         3         6         0         2         8         1
Vardas836     Pavarde836        8         7         2         10        6         0         4         9         6         7         8
Vardas837     Pavarde837        1         3         3         10        3         3         4         4         4         0         10
Vardas838     Pavarde838        9         9         0         2         6         9         0         2         6         7         9
Vardas839     Pavarde839        10        4         0         8         8         9         4         3         5         9         10
Vardas840     Pavarde840        1         8         1         10        4         6         7         8         1         0         1
Vardas841     Pavarde841        9         8         10        6         4         2         1         0         10        0         0
Vardas842     Pavarde842        9         8         10        7         1         2         4         0         9         8         8
Vardas843     Pavarde843        10        7         3         9         7         1         9         1         4         0         4
Vardas844     Pavarde844        1         1         5         10        4         8         10        7         4         10        10
Vardas845     Pavarde845        6         4         3         5         5         10        1         6         6         8         8
Vardas846     Pavarde846        0         7         1         6         3         9         5         5         7         3         7
Vardas847     Pavarde847        5         1         3         2         0         7         5         7         3         8         10
Vardas848     Pavarde848        6         8         9         2         10        6         0         7         4         0         2
Vardas849     Pavarde849        6         2         3         6         0         2         4         2         5         10        5
Vardas850     Pavarde850        3         7         8         6         0         10        10        3         7         8         5
Vardas851     Pavarde851        10        0         8         7         3         8         5         3         3         7         10
Vardas852     Pavarde852        1         6         3         6         3         1         0         6         3         3         0
Vardas853     Pavarde853        6         6         6         8         9         2         5         4         9         6         9
Vardas854     Pavarde854        5         0         3         5         9         6         3         3         4         6         6
Vardas855     Pavarde855        9         0         5         9         8         1         9         2         4         0         9
Vardas856     Pavarde856        1         1         3         6         1         2         6         10        1         8         5
Vardas857     Pavarde857        5         2         0         9         8         7         8         8         3         0         10
Vardas858     Pavarde858        8         10        8         5         1         9         5         10        8         5         9
Vardas859     Pavarde859        4         5         8         1         1         4         10        5         1         1         8
Vardas860     Pavarde860        1         2         2         5         6         2         9         7         2         8         9
Vardas861     Pavarde861        10        0         7         8         0         6         1         6         6         0         8
Vardas862     Pavarde862        5         1         0         10        1         3         0         6         2         9         10
Vardas863     Pavarde863        8         8         0         0         6         1         0         7         4         10        4
Vardas864     Pavarde864        0         7         1         5         3         5         4         6         3         8         1
Vardas865     Pavarde865        5         5         1         4         2         10        1         9         1         5         6
Vardas866     Pavarde866        8         10        8         9         0         9         10        3         0         2         7
Vardas867     Pavarde867        1         2         9         7         9         8         4         1         6         4         4
Vardas868     Pavarde868        7         5         8         8         1         1         9         4         7         2         3
Vardas869     Pavarde869        4         9         10        9         3         2         9         2         9         9         0
Vardas870     Pavarde870        0         10        6         3         5         5         10        7         8         6         10
Vardas871     Pavarde871        3         4         2         8         6         5         1         5         5         2         8
Vardas872     Pavarde872        4         8         3         0         6         8         6         8         2         5         1
Vardas873     Pavarde873        10        4         7         4         5         2         0         6         3         0         5
Vardas874     Pavarde874        1         5         10        8         8         8         2         5         1         7         9
Vardas875     Pavarde875        8         9         5         6         5         9         7         1         10        4         6
Vardas876     Pavarde876        8         6         10        5         7         7         9         7         3         6         0
Vardas877     Pavarde877        6         10        0         8         0         5         9         8         6         0         7
Vardas878     Pavarde878        3         7         4         4         8         6         1         9         9         10        3
Vardas879     Pavarde879        2         7         3         6         5         10        10        8         0         5         5
Vardas880     Pavarde880        6         6         1         0         5         4         2         5         3         5         8
Vardas881     Pavarde881        5         6         4         1         3         5         10        2         7         3         3
Vardas882     Pavarde882        0         3         2         4         3         7         1         6         6         5         5
Vardas883     Pavarde883        7         4         3         8         7         7         9         0         8         8         0
Vardas884     Pavarde884        4         4         7         4         0         3         5         2         4         0         8
Vardas885     Pavarde885        7         6         0         9         9         8         0         6         0         6         7
Vardas886     Pavarde886        9         5         9         7         2         10        6         6         8         10        3
Vardas887     Pavarde887        8         1         10        8         7         2         9         6         3         4         6
Vardas888     Pavarde888        2         1         10        1         5         4         3         3         3         0         3
Vardas889     Pavarde889        8         5         1         3         5         8         6         6         6         2         10
Vardas890     Pavarde890        4         9         0         6         4         0         8         1         10        4         3
Vardas891     Pavarde891        6         7         10        2         1         10        7         4         7         9         4
Vardas892     Pavarde892        8         2         3         0         0         8         1         6         6         2         3
Vardas893     Pavarde893        8         3         4         3         9         10        8         5         3         3         5
Vardas894     Pavarde894        7         8         5         8         8         6         7         10        9         8         4
Vardas895     Pavarde895        4         4         2         4         5         7         1         4         10        6         2
Vardas896     Pavarde896        3         7         3         4         1         6         9         4         3         4         3
Vardas897     Pavarde897        0         6         3         2         3         5         3         0         9         1         0
Vardas898     Pavarde898        7         3         1         7         8         4         0         5         0         8         6
Vardas899     Pavarde899        4         5         10        4         3         10        1         0         0         10        10
Vardas900     Pavarde900        3         6         4         5         7         1         8         8         9         5         4
Vardas901     Pavarde901        8         6         7         7         0         3         10        9         5         7         3
Vardas902     Pavarde902        6         0         2         0         1         3         3         3         0         5         5
Vardas903     Pavarde903        5         7         3         6         0         10        5         0         1         0         2
Vardas904     Pavarde904        8         8         5         1         3         8         5         3         5         10        8
Vardas905     Pavarde905        7         0         9         7         1         1         5         2         1         10        10
Vardas906     Pavarde906        8         3         7         8         6         1         1         2         2         7         0
Vardas907     Pavarde907        9         10        7         2         4         5         9         1         8         9         2
Vardas908     Pavarde908        10        2         8         10        4         10        0         3         4         10        1
Vardas909     Pavarde909        0         0         4         8         3         10        1         3         2         2         9
Vardas910     Pavarde910        7         6         2         8         8         4         7         3         8         7         2
Vardas911     Pavarde911        10        8         3         4         0         7         2         4         10        9         9
Vardas912     Pavarde912        10        8         9         8         2         3         2         7         9         8         3
Vardas913     Pavarde913        2         9         5         5         6         9         3         8         10        7         2
Vardas914     Pavarde914        3         5         9         2         5         5         9         10        9         4         4
Vardas915     Pavarde915        4         0         3         4         5         7         5         6         3         8         10
Vardas916     Pavarde916        9         2         6         10        3         6         10        7         0         5         0
Vardas917     Pavarde917        3         5         10        3         4         3         5         8         6         6         6
Vardas918     Pavarde918        2         6         6         10        7         4         6         7         10        7         2
Vardas919     Pavarde919        9         6         5         5         7         6         10        10        2         7         1
Vardas920     Pavarde920        1         0         6         7         10        6         2         3         10        7         2
Vardas921     Pavarde921        1         9         8         0         3         6         1         9         8         2         6
Vardas922     Pavarde922        0         7         4         10        3         7         4         0         7         3         4
Vardas923     Pavarde923        0         8         9         6         1         0         0         5         4         10        4
Vardas924     Pavarde924        2         8         2         3         2         4         9         2         9         1         5
Vardas925     Pavarde925        1         0         3         10        9         8         5         4         7         9         1
Vardas926     Pavarde926        9         10        2         5         2         5         9         8         7         6         8
Vardas927     Pavarde927        4         4         2         9         9         3         8         8         8         1         10
Vardas928     Pavarde928        3         8         0         10        3         4         6         4         3         10        3
Vardas929     Pavarde929        7         3         7         0         5         0         4         10        7         1         5
Vardas930     Pavarde930        6         9         0         1         8         0         2         8         0         7         8
Vardas931     Pavarde931        0         9         7         7         1         10        8         0         6         0         9
Vardas932     Pavarde932        7         3         7         3         4         7         2         6         0         1         1
Vardas933     Pavarde933        9         6         0         6         7         4         10        7         1         10        2
Vardas934     Pavarde934        7         2         3         7         4         9         4         8         10        6         6
Vardas935     Pavarde935        6         0         6         8         0         8         1         1         5         7         6
Vardas936     Pavarde936        0         7         7         2         3         6         9         3         7         9         5
Vardas937     Pavarde937        3         3         3         5         9         6         9         9         8         9         10
Vardas938     Pavarde938        7         1         6         2         0         2         0         3         9         1         10
Vardas939     Pavarde939        8         4         3         2         2         0         2         1         6         9         1
Vardas940     Pavarde940        9         5         5         7         9         10        1         1         4         10        6
Vardas941     Pavarde941        10        9         6         7         10        3         5         4         8         3         1
Vardas942     Pavarde942        5         9         1         2         4         7         6         2         4         5         5
Vardas943     Pavarde943        2         3         10        7         10        10        6         4         5         1         10
Vardas944     Pavarde944        8         10        2         7         3         1         6         2         4         5         3
Vardas945     Pavarde945        2         3         10        8         8         5         6         8         7         10        10
Vardas946     Pavarde946        3         3         2         9         2         4         3         4         8         4         7
Vardas947     Pavarde947        0         5         1         6         4         5         6         0         0         1         2
Vardas948     Pavarde948        9         10        9         0         6         5         7         9         0         9         9
Vardas949     Pavarde949        0         8         0         7         8         9         8         8         10        6         4
Vardas950     Pavarde950        2         1         9         9         10        9         4         9         1         6         7
Vardas951     Pavarde951        10        7         4         4         3         0         6         5         6         4         4
Vardas952     Pavarde952        9         8         10        0         9         1         9         6         2         4         5
Vardas953     Pavarde953        7         7         4         0         6         10        3         7         5         5         5
Vardas954     Pavarde954        0         10        0         8         10        8         0         1         8         5         7
Vardas955     Pavarde955        6         4         1         1         3         1         5         4         4         7         1
Vardas956     Pavarde956        0         10        7         0         9         6         6         8         9         8         2
Vardas957     Pavarde957        6         6         2         2         5         6         6         10        5         5         10
Vardas958     Pavarde958        4         7         7         4         0         6         9         6         3         7         5
Vardas959     Pavarde959        7         2         9         4         0         8         2         2         9         3         4
Vardas960     Pavarde960        2         2         9         1         6         5         2         4         0         7         7
Vardas961     Pavarde961        3         1         7         2         9         0         7         7         6         9         8
Vardas962     Pavarde962        5         4         3         6         2         2         0         9         5         2         0
Vardas963     Pavarde963        10        8         2         6         5         0         2         1         5         5         6
Vardas964     Pavarde964        8         4         3         2         8         6         2         3         2         1         2
Vardas965     Pavarde965        5         2         8         2         2         3         8         1         1         3         8
Vardas966     Pavarde966        4         3         9         10        7         7         1         2         6         9         10
Vardas967     Pavarde967        8         1         2         6         0         3         1         7         4         2         3
Vardas968     Pavarde968        0         1         5         0         4         5         10        6         10        3         0
Vardas969     Pavarde969        6         3         0         3         0         2         1         1         4         4         7
Vardas970     Pavarde970        0         7         4         3         0         6         3         7         10        3         10
Vardas971     Pavarde971        3         3         9         10        5         6         8         0         0         10        1
Vardas972     Pavarde972        4         10        1         0         10        3         5         2         8         10        3
Vardas973     Pavarde973        9         8         0         3         7         1         0         3         6         2         7
Vardas974     Pavarde974        9         6         1         0         2         5         2         4         2         7         8
Vardas975     Pavarde975        9         3         8         7         1         2         10        4         9         6         9
Vardas976     Pavarde976        5         5         10        5         10        7         0         3         7         5         10
Vardas977     Pavarde977        5         0         5         1         5         1         7         5         6         2         3
Vardas978     Pavarde978        5         1         7         0         4         7         10        9         7         2         10
Vardas979     Pavarde979        3         8         9         3         1         9         7         8         1         4         4
Vardas980     Pavarde980        9         5         9         4         4         10        10        6         10        6         5
Vardas981     Pavarde981        6         7         4         10        3         0         10        8         3         2         6
Vardas982     Pavarde982        3         0         4         10        3         10        4         9         0         9         2
Vardas983     Pavarde983        3         2         0         6         3         10        2         9         10        0         4
Vardas984     Pavarde984        5         2         6         1         7         3         9         5         10        1         6
Vardas985     Pavarde985        9         0         7         9         1         1         3         5         3         3         1
Vardas986     Pavarde986        1         8         6         7         4         6         8         9         0         5         2
Vardas987     Pavarde987        2         2         0         4         6         1         9         6         10        0         3
Vardas988     Pavarde988        1         4         1         6         1         5         10        8         8         1         0
Vardas989     Pavarde989        3         2         9         8         5         8         7         7         9         1         1
Vardas990     Pavarde990        10        5         6         6         9         10        10        5         7         5         6
Vardas991     Pavarde991        1         10        1         10        6         2         7         3         3         7         2
Vardas992     Pavarde992        8         8         3         5         4         4         0         3         2         7         5
Vardas993     Pavarde993        5         7         9         6         4         8         8         6         3         2         4
Vardas994     Pavarde994        5         4         7         7         8         0         10        8         2         5         7
Vardas995     Pavarde995        2         8         0         8         3         5         6         9         2         4         8
Vardas996     Pavarde996        4         8         8         3         0         0         8         10        2         8         2
Vardas997     Pavarde997        4         2         5         2         3         1         9         2         1         5         0
Vardas998     Pavarde998        1         4         1         3         2         0         2         6         0         2         4
Vardas999     Pavarde999        4         8         2         6         1         10        10        4         9         10        10
Vardas1000    Pavarde1000       3         6         9         0         5         5         6         2         5         2         4
